student_id,student_name,grade_level,class_room,gender,birth_date,enrollment_date,status,parent_contact,address_district
S001,นางสาวกมลชนก สุขใจ,ม.1,1/1,หญิง,2012-03-15,2024-05-15,กำลังศึกษา,081-234-5601,เมือง
S002,นายธนพล วงศ์ดี,ม.1,1/1,ชาย,2012-05-20,2024-05-15,กำลังศึกษา,082-345-6702,เมือง
S003,นางสาวสุภาพร ใจงาม,ม.1,1/2,หญิง,2012-07-08,2024-05-15,กำลังศึกษา,083-456-7803,แก้วฟ้า
S004,นายภูมิพัฒน์ รักษา,ม.1,1/2,ชาย,2012-09-12,2024-05-15,กำลังศึกษา,084-567-8904,เมือง
S005,นางสาวปภาวรินท์ สว่าง,ม.1,1/3,หญิง,2012-11-25,2024-05-15,กำลังศึกษา,085-678-9005,ดอนตูม
S006,นายอรรถพล มั่นคง,ม.1,1/3,ชาย,2012-02-14,2024-05-15,กำลังศึกษา,086-789-0106,เมือง
S007,นางสาวชนิกานต์ ดีเลิศ,ม.1,1/4,หญิง,2012-04-30,2024-05-15,กำลังศึกษา,087-890-1207,แก้วฟ้า
S008,นายกิตติพงศ์ เจริญ,ม.1,1/4,ชาย,2012-06-18,2024-05-15,กำลังศึกษา,088-901-2308,เมือง
S009,นางสาวพิมพ์ชนก สดใส,ม.2,2/1,หญิง,2011-01-22,2023-05-15,กำลังศึกษา,089-012-3409,ดอนตูม
S010,นายศุภกร ชาญฉลาด,ม.2,2/1,ชาย,2011-03-17,2023-05-15,กำลังศึกษา,081-123-4510,เมือง
S011,นางสาวณัฐนิชา แสงจันทร์,ม.2,2/2,หญิง,2011-05-09,2023-05-15,กำลังศึกษา,082-234-5611,แก้วฟ้า
S012,นายธีรพงศ์ กล้าหาญ,ม.2,2/2,ชาย,2011-07-27,2023-05-15,กำลังศึกษา,083-345-6712,เมือง
S013,นางสาวรัตนาภรณ์ ประดับ,ม.2,2/3,หญิง,2011-09-05,2023-05-15,กำลังศึกษา,084-456-7813,ดอนตูม
S014,นายวีรภัทร พลัง,ม.2,2/3,ชาย,2011-11-13,2023-05-15,กำลังศึกษา,085-567-8914,เมือง
S015,นางสาวปาลิตา นวล,ม.2,2/4,หญิง,2011-01-28,2023-05-15,กำลังศึกษา,086-678-9015,แก้วฟ้า
S016,นายณัฐวุฒิ เพียร,ม.2,2/4,ชาย,2011-04-11,2023-05-15,กำลังศึกษา,087-789-0116,เมือง
S017,นางสาวธัญญารัตน์ งามสง่า,ม.3,3/1,หญิง,2010-02-16,2022-05-15,กำลังศึกษา,088-890-1217,ดอนตูม
S018,นายเจษฎา มุ่งมั่น,ม.3,3/1,ชาย,2010-04-24,2022-05-15,กำลังศึกษา,089-901-2318,เมือง
S019,นางสาวพรรณิภา แพรวพราว,ม.3,3/2,หญิง,2010-06-07,2022-05-15,กำลังศึกษา,081-012-3419,แก้วฟ้า
S020,นายอัครพล ทรงธรรม,ม.3,3/2,ชาย,2010-08-19,2022-05-15,กำลังศึกษา,082-123-4520,เมือง
S021,นางสาวภัทรานิษฐ์ ละเอียด,ม.3,3/3,หญิง,2010-10-31,2022-05-15,กำลังศึกษา,083-234-5621,ดอนตูม
S022,นายธนากร เรืองฤทธิ์,ม.3,3/3,ชาย,2010-12-03,2022-05-15,กำลังศึกษา,084-345-6722,เมือง
S023,นางสาวปุณยนุช อ่อนโยน,ม.4,4/1,หญิง,2009-03-21,2021-05-15,กำลังศึกษา,085-456-7823,แก้วฟ้า
S024,นายภควัต สุขสันต์,ม.4,4/1,ชาย,2009-05-14,2021-05-15,กำลังศึกษา,086-567-8924,เมือง
S025,นางสาวสิรินทรา งามล้ำ,ม.4,4/2,หญิง,2009-07-29,2021-05-15,กำลังศึกษา,087-678-9025,ดอนตูม
S026,นายธนโชติ ปราดเปรื่อง,ม.4,4/2,ชาย,2009-09-08,2021-05-15,กำลังศึกษา,088-789-0126,เมือง
S027,นางสาวชญาดา มีปัญญา,ม.4,4/3,หญิง,2009-11-17,2021-05-15,กำลังศึกษา,089-890-1227,แก้วฟ้า
S028,นายปวริศ แกร่ง,ม.4,4/3,ชาย,2009-01-26,2021-05-15,กำลังศึกษา,081-901-2328,เมือง
S029,นางสาวกานต์พิชชา สุภาพ,ม.5,5/1,หญิง,2008-04-12,2020-05-15,กำลังศึกษา,082-012-3429,ดอนตูม
S030,นายธีรเดช สมบูรณ์,ม.5,5/1,ชาย,2008-06-23,2020-05-15,กำลังศึกษา,083-123-4530,เมือง
S031,นางสาวภัทรวดี หวานใจ,ม.5,5/2,หญิง,2008-08-05,2020-05-15,กำลังศึกษา,084-234-5631,แก้วฟ้า
S032,นายณัฐพงศ์ ทรงเกียรติ,ม.5,5/2,ชาย,2008-10-18,2020-05-15,กำลังศึกษา,085-345-6732,เมือง
